id,nombre,email,ciudad,edad,extra
1983,Luis Martínez,luis.martínez@correo.com,Guayaquil,34,dato_invalido
1960,,maría.gómez@email.com,Loja,45,
1215,Roberto López,roberto.lópez@correo.com,Quito,29,
1961,Ana Torres,ana.torres@correo.com,manta,30,
1720,Lucía Fernández,lucía.fernández@email.com,Portoviejo,50,
1758,Lucía Fernández,lucía.fernández@correo.com,Cuenca,62,
1031,María Gómez,maría.gómez@email.com,Loja,19,
1141,Carla Díaz,carla.díaz@correo.com,Guayaquil,57,
1387,Carla Díaz,carla.díaz@mail.com,Riobamba,24,
1180,Lucía Fernández,lucía.fernández@mail.com,Quito,45,
1331,Luis Martínez,luis.martínez@correo.com,Riobamba,52,
1188,Luis Martínez,luis.martínez@mail.com,Riobamba,41,
1257,Luis Martínez,luis.martínez@email.com,Manta,24,
1465,Juan Pérez,juan.pérez@mail.com,Portoviejo,47,
1269,María Gómez,maría.gómez@email.com,Ambato,46,
1842,María Gómez,maría.gómez@correo.com,Loja,47,
1395,María Gómez,maría.gómez@correo.com,Portoviejo,30,
1668,Lucía Fernández,lucía.fernández@email.com,Ambato,62,
1213,Luis Martínez,luis.martínez@correo.com,Loja,39,
1319,Luis Martínez,luis.martínez@mail.com,Riobamba,27,
1062,Pedro Sánchez,pedro.sánchez@correo.com,Cuenca,37,
1481,Carla Díaz,carla.díaz@mail.com,Cuenca,23,
1302,Carla Díaz,carla.díaz@mail.com,Cuenca,35,
1900,Juan Pérez,juan.pérez@correo.com,Loja,23,
1772,María Gómez,maría.gómez@email.com,Cuenca,33,
1567,Roberto López,roberto.lópez@mail.com,Cuenca,18,
1255,Lucía Fernández,lucía.fernández@correo.com,Manta,23,
1398,Carla Díaz,carla.díaz@mail.com,Portoviejo,50,
1154,Luis Martínez,luis.martínez@correo.com,Manta,64,
1521,Ana Torres,ana.torres@correo.com,Portoviejo,59,
1135,Pedro Sánchez,pedro.sánchez@email.com,Guayaquil,25,
1018,Juan Pérez,juan.pérez@email.com,Loja,44,
1351,Ana Torres,ana.torres@email.com,Loja,26,
1558,María Gómez,maría.gómez@email.com,Riobamba,51,
1937,,pedro.sánchez@correo.com,Cuenca,44,
1517,Carla Díaz,carla.díaz@email.com,Cuenca,41,
1957,Juan Pérez,juan.pérez@email.com,Guayaquil,28,dato_invalido
1195,Pedro Sánchez,pedro.sánchez@email.com,Riobamba,59,
1798,Ana Torres,ana.torres@email.com,Ambato,35,
1820,Carla Díaz,carla.díaz@email.com,Guayaquil,54,
1537,Pedro Sánchez,pedro.sánchez@mail.com,Manta,41,
1794,María Gómez,maría.gómez@correo.com,Riobamba,37,
1568,Ana Torres,ana.torres@correo.com,Ambato,52,
1167,Ana Torres,ana.torres@email.com,Guayaquil,27,
1138,Carla Díaz,carla.díaz@email.com,Guayaquil,24,
1825,Carla Díaz,carla.díaz@correo.com,Loja,44,
1299,Juan Pérez,juan.pérez@correo.com,Riobamba,52,
1646,Juan Pérez,juan.pérez@correo.com,Riobamba,44,
1784,Carla Díaz,carla.díaz@correo.com,Loja,19,
1920,María Gómez,maría.gómez@email.com,Quito,32,dato_invalido
1347,Carla Díaz,carla.díaz@email.com,Riobamba,65,
1460,Ana Torres,ana.torres@correo.com,Portoviejo,33,
1396,Pedro Sánchez,pedro.sánchez@email.com,Quito,18,
1156,Carla Díaz,carla.díaz@correo.com,Portoviejo,42,
1645,Roberto López,roberto.lópez@email.com,Ambato,35,
1536,Ana Torres,ana.torres@mail.com,Cuenca,51,
1805,Luis Martínez,luis.martínez@email.com,Riobamba,33,
1496,Luis Martínez,luis.martínez@email.com,Loja,43,
1084,María Gómez,maría.gómez@email.com,Guayaquil,34,
1989,Lucía Fernández,lucía.fernández@email.com,Ambato,41,dato_invalido
1202,Ana Torres,ana.torres@correo.com,Portoviejo,54,
1941,María Gómez,,Riobamba,35,
1095,Lucía Fernández,lucía.fernández@email.com,Portoviejo,29,
1472,Roberto López,roberto.lópez@correo.com,Loja,27,
1815,Carla Díaz,carla.díaz@correo.com,Portoviejo,21,
1791,Pedro Sánchez,pedro.sánchez@correo.com,Manta,36,
1795,Luis Martínez,luis.martínez@correo.com,Portoviejo,30,
1913,Roberto López,roberto.lópez@correo.com,Cuenca,28,
1684,Roberto López,roberto.lópez@email.com,Guayaquil,31,
1119,Pedro Sánchez,pedro.sánchez@correo.com,Quito,64,
1431,Luis Martínez,luis.martínez@correo.com,Loja,18,
1094,Carla Díaz,carla.díaz@email.com,Riobamba,56,
1678,Lucía Fernández,lucía.fernández@email.com,Cuenca,18,
1254,Roberto López,roberto.lópez@correo.com,Ambato,29,
1343,Lucía Fernández,lucía.fernández@email.com,Ambato,40,
1260,Juan Pérez,juan.pérez@correo.com,Riobamba,48,
1049,Juan Pérez,juan.pérez@email.com,Manta,38,
1752,Roberto López,roberto.lópez@email.com,Riobamba,42,
1016,Pedro Sánchez,pedro.sánchez@correo.com,Ambato,54,
1804,María Gómez,maría.gómez@mail.com,Riobamba,35,
1074,Carla Díaz,carla.díaz@mail.com,Riobamba,62,
1349,Carla Díaz,carla.díaz@mail.com,Manta,29,
1058,Ana Torres,ana.torres@mail.com,Ambato,32,
1518,Ana Torres,ana.torres@mail.com,Loja,37,
1770,Carla Díaz,carla.díaz@correo.com,Portoviejo,46,
1971,Juan Pérez,juan.pérez@correo.com,Manta,awt,
1005,Luis Martínez,luis.martínez@email.com,Ambato,35,
1169,Roberto López,roberto.lópez@mail.com,Manta,27,
1353,Lucía Fernández,lucía.fernández@correo.com,Cuenca,31,
1888,Lucía Fernández,lucía.fernández@mail.com,Manta,29,
1418,Ana Torres,ana.torres@email.com,Riobamba,53,
1066,Ana Torres,ana.torres@correo.com,Riobamba,19,
1895,Pedro Sánchez,pedro.sánchez@correo.com,Guayaquil,29,
1223,Juan Pérez,juan.pérez@mail.com,Loja,44,
1650,Luis Martínez,luis.martínez@correo.com,Guayaquil,22,
1745,Roberto López,roberto.lópez@email.com,Riobamba,25,
1943,,roberto.lópez@email.com,Quito,23,
1821,Lucía Fernández,lucía.fernández@mail.com,Loja,40,
1979,Pedro Sánchez,pedro.sánchez@correo.com,Riobamba,42,dato_invalido
1591,Lucía Fernández,lucía.fernández@mail.com,Guayaquil,28,
1725,Carla Díaz,carla.díaz@correo.com,Portoviejo,51,
1087,Pedro Sánchez,pedro.sánchez@mail.com,Quito,25,
